id,net,status_abbrev,pad_name,mission_name,mission_orbit_abbrev,configuration_name,reused,launcher_serial_number,landing_location_abbrev,landing_type_abbrev,landing_attempt,landing_success,year,year_month,starlink_commercial
878ba32c-5e93-4d2b-95c3-24b60c8b05e7,2021-12-21 10:07:08,Success,Launch Complex 39A,Dragon CRS-2 SpX-24,LEO,Falcon 9,[False],['B1069'],['JRTI'],['ASDS'],[True],[True],2021,2021-12,Commercial
16d0c02e-0bb1-45d5-a3f5-7c4ff6cf6de1,2021-12-19 03:58:39,Success,Space Launch Complex 40,Türksat 5B,GTO,Falcon 9,[True],['B1067'],['ASOG'],['ASDS'],[True],[True],2021,2021-12,Commercial
0d4b0c0f-3d72-4cb2-b596-dc526ad178a6,2021-12-18 12:41:40,Success,Space Launch Complex 4E,Starlink Group 4-4,LEO,Falcon 9,[True],['B1051'],['OCISLY'],['ASDS'],[True],[True],2021,2021-12,Starlink
dfb2cc3b-8cd8-41b6-a83a-22b2a742ba4b,2021-12-09 06:00:00,Success,Launch Complex 39A,IXPE,LEO,Falcon 9,[True],['B1061'],['JRTI'],['ASDS'],[True],[True],2021,2021-12,Commercial
56db9abd-41b8-41a3-9d6d-88e52460682b,2021-12-02 23:12:00,Success,Space Launch Complex 40,Starlink Group 4-3,LEO,Falcon 9,[True],['B1060'],['ASOG'],['ASDS'],[True],[True],2021,2021-12,Starlink
c4b2f90e-3385-4cbe-a89f-fc5f57da1bfb,2021-11-24 06:21:02,Success,Space Launch Complex 4E,Double Asteroid Redirection Test (DART),Helio-N/A,Falcon 9,[True],['B1063'],['OCISLY'],['ASDS'],[True],[True],2021,2021-11,Commercial
e4200e5c-2726-43f2-8439-36bd1be59821,2021-11-13 12:19:00,Success,Space Launch Complex 40,Starlink Group 4-1,LEO,Falcon 9,[True],['B1058'],['JRTI'],['ASDS'],[True],[True],2021,2021-11,Starlink
0d779392-1a36-4c1e-b0b8-ec11e3031ee6,2021-11-11 02:03:31,Success,Launch Complex 39A,Crew-3,LEO,Falcon 9,[True],['B1067'],['ASOG'],['ASDS'],[True],[True],2021,2021-11,Commercial
621d64e6-0513-45dc-8ffa-c9fd56518398,2021-09-16 00:02:56,Success,Launch Complex 39A,Inspiration4,LEO,Falcon 9,[True],['B1062'],['JRTI'],['ASDS'],[True],[True],2021,2021-09,Commercial
6b9f9fe6-7f94-498b-a664-7c9e42dbe76d,2021-09-14 03:55:00,Success,Space Launch Complex 4E,Starlink Group 2-1,PO,Falcon 9,[True],['B1049'],['OCISLY'],['ASDS'],[True],[True],2021,2021-09,Starlink
13386512-85bb-4c93-a9b0-f5eac05fbe4f,2021-08-29 07:14:49,Success,Launch Complex 39A,Dragon CRS-2 SpX-23,LEO,Falcon 9,[True],['B1061'],['ASOG'],['ASDS'],[True],[True],2021,2021-08,Commercial
5d248abe-17ef-43ce-9c04-aef33af40520,2021-06-30 19:31:00,Success,Space Launch Complex 40,Transporter 2 (Dedicated SSO Rideshare),SSO,Falcon 9,[True],['B1060'],['LZ-1'],['RTLS'],[True],[True],2021,2021-06,Commercial
110c808a-a091-47ab-8532-4fa058c1de7a,2021-06-17 16:09:35,Success,Space Launch Complex 40,GPS III SV05,MEO,Falcon 9,[True],['B1062'],['JRTI'],['ASDS'],[True],[True],2021,2021-06,Commercial
edaf9a8d-d67c-4e0e-8452-a37b111581d5,2021-06-06 04:26:00,Success,Space Launch Complex 40,SXM-8,GTO,Falcon 9,[True],['B1061'],['JRTI'],['ASDS'],[True],[True],2021,2021-06,Commercial
89a150ea-6e4b-489f-853c-3603ae684611,2021-06-03 17:29:15,Success,Launch Complex 39A,Dragon CRS-2 SpX-22,LEO,Falcon 9,[False],['B1067'],['OCISLY'],['ASDS'],[True],[True],2021,2021-06,Commercial
fb25ecf0-fb51-4b5e-b678-105f6ba4c06e,2021-05-26 18:59:00,Success,Space Launch Complex 40,Starlink 28,LEO,Falcon 9,[True],['B1063'],['JRTI'],['ASDS'],[True],[True],2021,2021-05,Starlink
c32d1f5e-2dd9-4b55-ac8b-3eb8c4a4e955,2021-05-15 22:56:00,Success,Launch Complex 39A,Starlink 26 & Rideshare,LEO,Falcon 9,[True],['B1058'],['OCISLY'],['ASDS'],[True],[True],2021,2021-05,Starlink
e5085f22-208b-4b28-b66c-fd4bd9df90e7,2021-05-09 06:42:00,Success,Space Launch Complex 40,Starlink 27,LEO,Falcon 9,[True],['B1051'],['JRTI'],['ASDS'],[True],[True],2021,2021-05,Starlink
1ecc82c0-c5c8-41f0-aa58-b50a3b839ae0,2021-05-04 19:01:00,Success,Launch Complex 39A,Starlink 25,LEO,Falcon 9,[True],['B1049'],['OCISLY'],['ASDS'],[True],[True],2021,2021-05,Starlink
fbd23c86-89d0-4d3f-b5fb-5d7165d05cca,2021-04-29 03:44:00,Success,Space Launch Complex 40,Starlink 24,LEO,Falcon 9,[True],['B1060'],['JRTI'],['ASDS'],[True],[True],2021,2021-04,Starlink
32dcb5ad-7609-4fc0-8094-768ee5c2ebe0,2021-04-23 09:49:02,Success,Launch Complex 39A,Crew-2,LEO,Falcon 9,[True],['B1061'],['OCISLY'],['ASDS'],[True],[True],2021,2021-04,Commercial
385455f4-067e-4c24-9937-ca8283ed3307,2021-04-07 16:34:00,Success,Space Launch Complex 40,Starlink 23,LEO,Falcon 9,[True],['B1058'],['OCISLY'],['ASDS'],[True],[True],2021,2021-04,Starlink
ec03fe36-fe2a-4e43-8e10-d07d5349f1de,2021-03-24 08:28:00,Success,Space Launch Complex 40,Starlink 22,LEO,Falcon 9,[True],['B1060'],['OCISLY'],['ASDS'],[True],[True],2021,2021-03,Starlink
896d876d-e834-4810-8a5e-44d6b6a42630,2021-03-14 10:01:00,Success,Launch Complex 39A,Starlink 21,LEO,Falcon 9,[True],['B1051'],['OCISLY'],['ASDS'],[True],[True],2021,2021-03,Starlink
134eb787-244e-4131-8b03-c9fbd0a11efc,2021-03-11 08:13:00,Success,Space Launch Complex 40,Starlink 20,LEO,Falcon 9,[True],['B1058'],['JRTI'],['ASDS'],[True],[True],2021,2021-03,Starlink
dfd4f0e0-0ab4-494d-bd88-1b93b934b269,2021-03-04 08:24:00,Success,Launch Complex 39A,Starlink 17,LEO,Falcon 9,[True],['B1049'],['OCISLY'],['ASDS'],[True],[True],2021,2021-03,Starlink
985f1cc1-82c1-4a89-b2cc-e9dc91829a0e,2021-02-16 03:59:00,Success,Space Launch Complex 40,Starlink 19,LEO,Falcon 9,[True],['B1059'],['OCISLY'],['ASDS'],[True],[False],2021,2021-02,Starlink
f31702e8-6353-4c9a-932c-5bd104717500,2021-02-04 06:19:54,Success,Space Launch Complex 40,Starlink 18,LEO,Falcon 9,[True],['B1060'],['OCISLY'],['ASDS'],[True],[True],2021,2021-02,Starlink
f213a5df-579a-4682-8143-df228e463049,2021-01-24 15:00:00,Success,Space Launch Complex 40,Transporter 1 (Dedicated SSO Rideshare),SSO,Falcon 9,[True],['B1058'],['OCISLY'],['ASDS'],[True],[True],2021,2021-01,Commercial
74426779-131d-416f-9ff5-dd879e231292,2021-01-20 13:02:00,Success,Launch Complex 39A,Starlink 16,LEO,Falcon 9,[True],['B1051'],['JRTI'],['ASDS'],[True],[True],2021,2021-01,Starlink
d5d607b7-05ed-4142-8703-14b553c195e0,2021-01-08 02:15:00,Success,Space Launch Complex 40,Türksat 5A,GTO,Falcon 9,[True],['B1060'],['JRTI'],['ASDS'],[True],[True],2021,2021-01,Commercial
528b72ff-e47e-46a3-b7ad-23b2ffcec2f2,2020-12-19 14:00:00,Success,Launch Complex 39A,NROL-108,LEO,Falcon 9,[True],['B1059'],['LZ-1'],['RTLS'],[True],[True],2020,2020-12,Commercial
fd63c683-f3e4-465a-8230-b9ba62744c7d,2020-12-13 17:30:00,Success,Space Launch Complex 40,SXM-7,GTO,Falcon 9,[True],['B1051'],['JRTI'],['ASDS'],[True],[True],2020,2020-12,Commercial
06dfcb34-0b76-4fbc-9046-09ab66db7b83,2020-12-06 16:17:00,Success,Launch Complex 39A,Dragon CRS-2 SpX-21,LEO,Falcon 9,[True],['B1058'],['OCISLY'],['ASDS'],[True],[True],2020,2020-12,Commercial
145b2935-8b72-44b2-8bda-4c27887721fd,2020-11-25 02:13:00,Success,Space Launch Complex 40,Starlink 15,LEO,Falcon 9,[True],['B1049'],['OCISLY'],['ASDS'],[True],[True],2020,2020-11,Starlink
56623c2d-7174-489c-b0ed-bf6f039b2412,2020-11-21 17:17:00,Success,Space Launch Complex 4E,Sentinel-6 Michael Freilich (Sentinel-6A; Jason-CS),LEO,Falcon 9,[False],['B1063'],['LZ-4'],['RTLS'],[True],[True],2020,2020-11,Commercial
0ede12be-ac6d-4571-9d0c-b2a85b5cf280,2020-11-16 00:27:17,Success,Launch Complex 39A,Crew-1,LEO,Falcon 9,[False],['B1061'],['JRTI'],['ASDS'],[True],[True],2020,2020-11,Commercial
23e362ae-8523-4224-9447-d05c4db03b8f,2020-11-05 23:24:23,Success,Space Launch Complex 40,"GPS III SV04 ""Sacagawea""",MEO,Falcon 9,[False],['B1062'],['OCISLY'],['ASDS'],[True],[True],2020,2020-11,Commercial
47c91a03-2e98-42c9-8751-d8fb36c89c99,2020-10-24 15:31:34,Success,Space Launch Complex 40,Starlink 14,LEO,Falcon 9,[True],['B1060'],['JRTI'],['ASDS'],[True],[True],2020,2020-10,Starlink
2b04a116-8460-42f9-8d4b-b65c73ed3e49,2020-10-18 12:25:57,Success,Launch Complex 39A,Starlink 13,LEO,Falcon 9,[True],['B1051'],['OCISLY'],['ASDS'],[True],[True],2020,2020-10,Starlink
8cbc59c0-60fb-4b8c-8a11-1edda0a82ab5,2020-10-06 11:29:34,Success,Launch Complex 39A,Starlink 12,LEO,Falcon 9,[True],['B1058'],['OCISLY'],['ASDS'],[True],[True],2020,2020-10,Starlink
82b600f6-6c2d-4694-a263-cec4525714cf,2020-09-03 12:46:00,Success,Launch Complex 39A,Starlink 11,LEO,Falcon 9,[True],['B1060'],['OCISLY'],['ASDS'],[True],[True],2020,2020-09,Starlink
98a5da32-4719-495b-9713-fcb5c058f31c,2020-08-30 23:18:00,Success,Space Launch Complex 40,SAOCOM 1B,SSO,Falcon 9,[True],['B1059'],['LZ-1'],['RTLS'],[True],[True],2020,2020-08,Commercial
24b3b696-9253-4088-92f2-c7762f4e0a4c,2020-08-18 14:31:00,Success,Space Launch Complex 40,Starlink 10,LEO,Falcon 9,[True],['B1049'],['OCISLY'],['ASDS'],[True],[True],2020,2020-08,Starlink
955fe2fa-b4c8-4a17-a22f-3b7aefa44444,2020-08-07 05:12:00,Success,Launch Complex 39A,Starlink 9,LEO,Falcon 9,[True],['B1051'],['OCISLY'],['ASDS'],[True],[True],2020,2020-08,Starlink
7e9fd521-c3af-4c55-9873-93bfe9945749,2020-07-20 21:30:00,Success,Space Launch Complex 40,ANASIS-II,GTO,Falcon 9,[True],['B1058'],['JRTI'],['ASDS'],[True],[True],2020,2020-07,Commercial
3825c276-87d9-4a4b-8128-b5abbb83d45a,2020-06-30 20:10:46,Success,Space Launch Complex 40,"GPS III SV03 ""Columbus""",MEO,Falcon 9,[False],['B1060'],['JRTI'],['ASDS'],[True],[True],2020,2020-06,Commercial
f0f2d68e-85b4-4051-9554-bb98b6148860,2020-06-13 09:21:00,Success,Space Launch Complex 40,Starlink 8,LEO,Falcon 9,[True],['B1059'],['OCISLY'],['ASDS'],[True],[True],2020,2020-06,Starlink
51dcfdc7-6dc8-42e3-8480-b41f24d874e3,2020-06-04 01:25:00,Success,Space Launch Complex 40,Starlink 7,LEO,Falcon 9,[True],['B1049'],['JRTI'],['ASDS'],[True],[True],2020,2020-06,Starlink
e71d3b58-dede-43f3-ac73-cc2de9a307ad,2020-05-30 19:22:45,Success,Launch Complex 39A,SpX-DM2 (Demonstration Mission 2),LEO,Falcon 9,[False],['B1058'],['OCISLY'],['ASDS'],[True],[True],2020,2020-05,Commercial
f10b74d3-149a-46cb-b815-002f4bc0e7d1,2020-04-22 19:30:00,Success,Launch Complex 39A,Starlink 6,LEO,Falcon 9,[True],['B1051'],['OCISLY'],['ASDS'],[True],[True],2020,2020-04,Starlink
fbf1234b-50ab-4414-92f9-1b53dad65d05,2020-03-18 12:16:39,Success,Launch Complex 39A,Starlink 5,LEO,Falcon 9,[True],['B1048'],['OCISLY'],['ASDS'],[True],[False],2020,2020-03,Starlink
